index,date,formatted date,grid,plot,Tree tag,gps tag,gps used,side,zone,fixed area,Species,fixed ht cm,Diameter 1,Diameter 2,Diameter 3,Diameter 4,Diameter 5,# Stems,Breaking,Age,Resprout,strip Circumference,Additive circumferance,area <3m stripped,Age strip,Bark Regrowth,Borers,Fire,Toppled,Resprout,Ele?,Alive,data entered bY
171,5/27/2018,27-May-18,1,3,342,NA,NA,A,3,0 to 2,Ormocarpum trichocarpum,59,0.49,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
169,5/27/2018,27-May-18,1,3,337,NA,NA,A,3,0 to 2,Ormocarpum trichocarpum,51,0.58,0.12,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
167,5/27/2018,27-May-18,1,3,334,NA,NA,A,3,0 to 2,Ormocarpum trichocarpum,81,0.70,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
164,5/27/2018,27-May-18,1,3,363,NA,NA,A,3,0 to 2,Gymnosporia senegalensis,61,0.87,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
172,5/27/2018,27-May-18,1,3,343,NA,NA,A,3,0 to 2,Ormocarpum trichocarpum,74,0.89,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
177,5/27/2018,27-May-18,1,3,358,NA,NA,A,4,0 to 2,Gymnosporia senegalensis,26,0.21,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
173,5/27/2018,27-May-18,1,3,344,NA,NA,A,4,0 to 2,Ormocarpum trichocarpum,25,0.22,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
179,5/27/2018,27-May-18,1,3,339,NA,NA,A,4,0 to 2,Ormocarpum trichocarpum,43,0.34,0.31,0.72,,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
187,5/27/2018,27-May-18,1,3,354,NA,NA,A,4,0 to 2,Ormocarpum trichocarpum,50,0.40,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
178,5/27/2018,27-May-18,1,3,336,NA,NA,A,4,0 to 2,Gymnosporia senegalensis,50,0.49,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
174,5/27/2018,27-May-18,1,3,345,NA,NA,A,4,0 to 2,Gymnosporia senegalensis,71,0.50,0.55,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
180,5/27/2018,27-May-18,1,3,347,NA,NA,A,4,0 to 2,Ormocarpum trichocarpum,55,0.51,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
175,5/27/2018,27-May-18,1,3,346,NA,NA,A,4,0 to 2,Gymnosporia senegalensis,71,0.61,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
189,5/27/2018,27-May-18,1,3,355,NA,NA,A,4,0 to 2,Gymnosporia senegalensis,73,0.67,0.46,0.52,,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
185,5/27/2018,27-May-18,1,3,351,NA,NA,A,4,0 to 2,Gymnosporia senegalensis,130,0.72,2.25,0.92,0.45,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
182,5/27/2018,27-May-18,1,3,349,NA,NA,A,4,0 to 2,Ormocarpum trichocarpum,67,0.73,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
181,5/27/2018,27-May-18,1,3,348,NA,NA,A,4,0 to 2,Gymnosporia senegalensis,100,0.76,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
184,5/27/2018,27-May-18,1,3,361,NA,NA,A,4,0 to 2,Gymnosporia senegalensis,110,0.85,0.63,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
183,5/27/2018,27-May-18,1,3,350,NA,NA,A,4,0 to 2,Gymnosporia senegalensis,100,1.02,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
176,5/27/2018,27-May-18,1,3,338,NA,NA,A,4,0 to 2,Ormocarpum trichocarpum,80,1.09,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
186,5/27/2018,27-May-18,1,3,353,NA,NA,A,4,0 to 2,Ormocarpum trichocarpum,50,1.15,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
188,5/27/2018,27-May-18,1,3,340,NA,NA,A,4,0 to 2,Gymnosporia senegalensis,180,2.23,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Melanie
312,28-May,28-May-18,1,3,380,NA,NA,B,1,0 to 2,Gymnosporia senegalensis,82,1.07,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,GarY + DannY
310,28-May,28-May-18,1,3,306,NA,NA,B,1,0 to 2,Gymnosporia senegalensis,110,1.33,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,GarY + DannY
311,28-May,28-May-18,1,3,373,NA,NA,B,1,0 to 2,Gymnosporia senegalensis,150,1.96,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,GarY + DannY
313,28-May,28-May-18,1,3,305,NA,NA,B,1,0 to 2,Gymnosporia senegalensis,110,2.02,1.2,0.99,,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,GarY + DannY
315,28-May,28-May-18,1,3,302,NA,NA,B,2,0 to 2,Gymnosporia senegalensis,110,0.17,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,GarY + DannY
320,28-May,28-May-18,1,3,308,NA,NA,B,2,0 to 2,Ormocarpum trichocarpum,89,0.43,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,GarY + DannY
318,28-May,28-May-18,1,3,384,NA,NA,B,2,0 to 2,Ormocarpum trichocarpum,70,0.54,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,GarY + DannY
328,28-May,28-May-18,1,3,375,NA,NA,B,2,0 to 2,Ormocarpum trichocarpum,70,0.6,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,GarY + DannY
317,28-May,28-May-18,1,3,381,NA,NA,B,2,0 to 2,Gymnosporia senegalensis,62,0.61,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,GarY + DannY
326,28-May,28-May-18,1,3,320,NA,NA,B,2,0 to 2,Gymnosporia senegalensis,120,0.88,1.2,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,GarY + DannY
322,28-May,28-May-18,1,3,303,NA,NA,B,2,0 to 2,Gymnosporia senegalensis,58,0.9,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,GarY + DannY
319,28-May,28-May-18,1,3,307,NA,NA,B,2,0 to 2,Gymnosporia senegalensis,79,1.03,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,GarY + DannY
323,28-May,28-May-18,1,3,317,NA,NA,B,2,0 to 2,Gymnosporia senegalensis,120,1.17,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,GarY + DannY
321,28-May,28-May-18,1,3,316,NA,NA,B,2,0 to 2,Gymnosporia senegalensis,110,1.43,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,GarY + DannY
316,28-May,28-May-18,1,3,378,NA,NA,B,2,0 to 2,Gymnosporia senegalensis,100,1.54,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,GarY + DannY
327,28-May,28-May-18,1,3,374,NA,NA,B,2,0 to 2,Philenoptera violacea,85,1.98,1.91,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,GarY + DannY
314,28-May,28-May-18,1,3,372,NA,NA,B,2,0 to 2,Gymnosporia senegalensis,120,2.15,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,GarY + DannY
325,28-May,28-May-18,1,3,395,NA,NA,B,2,0 to 2,Bolusanthus speciosus,130,3.02,3.21,1.69,3.17,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,GarY + DannY
324,28-May,28-May-18,1,3,319,NA,NA,B,2,0 to 2,Bolusanthus speciosus,170,3.4,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,GarY + DannY
292,28-May,28-May-18,1,3,313,NA,NA,B,3,0 to 2,Ehretia rigida,64,0.51,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,GarY + DannY
