date,index,location,location2,Grid,Plot,Way Point,GPS used,Tag #,Species,Ht (cm),Diameter stem 1,Diameter stem 2,Diameter stem 3,Diameter stem 4,Diameter stem 5,Diameter stem 6,Diameter stem 7,Diameter stem 8,# of stems,%,Age,Respr,% circum,Add circum,< 3m %,Age,% Regrow,Borers %,Fire (y/n),Toppled (y/n),Respr,Elephant (y/n),Alive (y/n),notes,Data entered by
5-Jun-16,53,Kruger National Park,Lower sabie,2,10,1446,Laurence's yellow gps,1284,Sclerocarya birrea,1200,60.5,0,0,0,0,0,0,0,1,5,O,Y,20,80,50,O,85,90,N,N,N,Y,Y,,ali
5-Jun-16,54,Kruger National Park,Lower sabie,2,11,1447,Laurence's yellow gps,,Acacia nigrescens,510,12.5,8.5,0,0,0,0,0,0,2,2,O,Y,15,17,7,O,36,22,N,N,N,Y,Y,,ali
5-Jun-16,55,Kruger National Park,Lower sabie,2,19 (exclosure),1438,Laurence's yellow gps,,Sclerocarya birrea,800,30,28,0,0,0,0,0,0,2,100,O,N,12,22,7,O,0,50,N,Y,Y,Y,N,,ali
5-Jun-16,56,Kruger National Park,Lower sabie,2,19 (exclosure),1439,Laurence's yellow gps,,Sclerocarya birrea,500,25.7,0,0,0,0,0,0,0,1,35,O,Y,15,24,5,O,0,50,Y,N,N/A,Y,Y,,ali
5-Jun-16,57,Kruger National Park,Lower sabie,2,19 (exclosure),1440,Laurence's yellow gps,,Acacia nigrescens,950,33.2,0,0,0,0,0,0,0,1,15,O,Y,0,0,0,N/A,N/A,N/A,Y,N,N/A,Y,Y,,ali
5-Jun-16,58,Kruger National Park,Lower sabie,2,19 (exclosure),1441,Laurence's yellow gps,,Acacia nigrescens,700,22,0,0,0,0,0,0,0,1,100,O,N,45,47,10,O,70,5,N,Y,N,N,N,,ali
5-Jun-16,59,Kruger National Park,Lower sabie,2,19 (exclosure),1442,Laurence's yellow gps,,Acacia nigrescens,1100,40,0,0,0,0,0,0,0,1,7,O,N,0,0,0,N/A,N/A,N/A,N,N,N/A,Y,Y,,ali
5-Jun-16,60,Kruger National Park,Lower sabie,2,19 (exclosure),1443,Laurence's yellow gps,,Sclerocarya birrea,650,22,22.5,0,0,0,0,0,0,2,98,O,Y,0,0,0,N/A,N/A,80,N,N,N/A,Y,Y,,ali
5-Jun-16,61,Kruger National Park,Lower sabie,2,19 (exclosure),1444,Laurence's yellow gps,,Acacia grandicornuta,600,18,0,0,0,0,0,0,0,1,100,O,Y,25,25,10,O,0,,N,N,N/A,Y,Y,,ali
5-Jun-16,62,Kruger National Park,Lower sabie,2,19 (exclosure),1445,Laurence's yellow gps,,Acacia nigrescens,700,17.2,0,0,0,0,0,0,0,1,100,O,N,0,0,0,N/A,N/A,N/A,N,N,N/A,Y,N,,ali
5-Jun-16,63,Kruger National Park,Lower sabie,2,19 (exclosure),1448,Laurence's yellow gps,,Acacia nigrescens,900,22,0,0,0,0,0,0,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,Y,N,Y,N,,ali
5-Jun-16,64,Kruger National Park,Lower sabie,2,19 (exclosure),1449,Laurence's yellow gps,,Acacia nigrescens,800,30,0,0,0,0,0,0,0,1,100,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,Y,Y,,ali
5-Jun-16,65,Kruger National Park,Lower sabie,2,19 (exclosure),1450,Laurence's yellow gps,,Acacia nigrescens,800,33,0,0,0,0,0,0,0,1,100,O,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,Y,N,,ali
5-Jun-16,66,Kruger National Park,Lower sabie,2,19 (exclosure),1451,Laurence's yellow gps,,Acacia nigrescens,900,40,0,0,0,0,0,0,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,Y,N,Y,N,,ali
5-Jun-16,67,Kruger National Park,Lower sabie,2,19 (exclosure),1452,Laurence's yellow gps,,Acacia nigrescens,900,45,0,0,0,0,0,0,0,1,100,O,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,Y,N,,ali
5-Jun-16,68,Kruger National Park,Lower sabie,2,19 (exclosure),1453,Laurence's yellow gps,,Acacia nigrescens,1100,39.6,0,0,0,0,0,0,0,1,47,O,Y,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,Y,N,,ali
5-Jun-16,69,Kruger National Park,Lower sabie,2,19 (exclosure),1454,Laurence's yellow gps,,Acacia nigrescens,950,35,0,0,0,0,0,0,0,1,100,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,Y,N,,ali
5-Jun-16,70,Kruger National Park,Lower sabie,2,19 (exclosure),1455,Laurence's yellow gps,,Acacia nigrescens,1000,30,0,0,0,0,0,0,0,1,100,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,Y,Y,,ali
5-Jun-16,71,Kruger National Park,Lower sabie,2,19 (exclosure),1456,Laurence's yellow gps,,Acacia nigrescens,1050,30.5,0,0,0,0,0,0,0,1,100,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,Y,Y,,ali
5-Jun-16,72,Kruger National Park,Lower sabie,2,19 (exclosure),1457,Laurence's yellow gps,,Acacia nigrescens,980,36,0,0,0,0,0,0,0,1,10,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,Y,Y,,ali
5-Jun-16,73,Kruger National Park,Lower sabie,2,19 (exclosure),1458,Laurence's yellow gps,646,Sclerocarya birrea,650,18.5,0,0,0,0,0,0,0,1,100,N,Y,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,Y,Y,,ali
5-Jun-16,74,Kruger National Park,Lower sabie,2,19 (exclosure),1459,Laurence's yellow gps,,Lannea schweinfurthii,1150,30,22,18,0,0,0,0,0,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,Y,Y,Y,Y,,ali
5-Jun-16,75,Kruger National Park,Lower sabie,2,19 (exclosure),1473,Laurence's yellow gps,,Acacia nigrescens,1100,41.8,0,0,0,0,0,0,0,1,5,O,N,10,18,5,O,90,855,Y,N,N/A,Y,Y,,ali
28-May-16,76,Kruger National Park,Lower sabie,3,21,57,NI,,Sclerocarya birrea,1200,49.2,0,0,0,0,0,0,0,1,0,N/A,N/A,0,0,0,N/A,N/A,N/A,N,N,N,N,Y,,Tsego
28-May-16,77,Kruger National Park,Lower sabie,3,22,47,NI,,Acacia nigrescens,570,21.3,0,0,0,0,0,0,0,1,5,O,N,15,15,7,O,3,50,Y,N,N,Y,Y,,Tsego
28-May-16,78,Kruger National Park,Lower sabie,3,22,48,NI,,Acacia nigrescens,570,29.1,0,0,0,0,0,0,0,2,3,O,N,35,53,18,O,55,20,Y,N,N,Y,Y,,Tsego
