ref,,,Date,Grid,Plot,Site code,Site,Section code,species (correctly spelled!),Height (cm),# stems,stem 1 diameter (cm),stem 2 diameter (cm),stem 3 diameter (cm),stem 4 diameter (cm),stem 5 diameter (cm),%break,age (N/O/N/A),sprout (Y/ N),% circum,% Additive,% < 3m,age (n/o/N/A),% regro,% borer, % fire,topple (y/n),resprout #,ele? (y/n/N/A),alive (y/n),Notes,Data Collector,Data Enterer,total basal area,total biomass
1691,,,25-May-2013,2,17,2_17,Open 8,5A02,Ormocarpum trichocarpum,85,1,1.258,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Hannah,1.242942859,
1692,,,25-May-2013,2,17,2_17,Open 8,5A02,Ormocarpum trichocarpum,100,2,1.096,1.633,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Hannah,9.321083412,
1693,,,25-May-2013,2,17,2_17,Open 8,5A02,Ormocarpum trichocarpum,100,1,1.992,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Hannah,3.116510178,
1694,,,25-May-2013,2,17,2_17,Open 8,5B02,Ormocarpum trichocarpum,200,2,0.2,0.1,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Laurence & Philip,Julia,0.062831853,
1695,,,25-May-2013,2,18,2_18,Open 9,1A02,Ormocarpum trichocarpum,50,1,6.902,0,0,0,0,100,O,Y,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Hannah,37.41448669,
1696,,,25-May-2013,2,18,2_18,Open 9,1B02,Acacia nigrescens,140,2,2,2.1,0,0,0,100,O,Y,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Laurence,Julia,16.99601626,
1697,,,25-May-2013,2,18,2_18,Open 9,2A02,Acacia nigrescens,50,2,0.731,0.561,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Hannah,1.40841133,
1698,,,25-May-2013,2,18,2_18,Open 9,2B02,Acacia nigrescens,57,1,7,0,0,0,0,100,O,Y,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Laurence,Julia,38.48451001,
1699,,,25-May-2013,2,18,2_18,Open 9,2B02,Ormocarpum trichocarpum,20,1,0.1,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Laurence,Julia,0.007853982,
1700,,,25-May-2013,2,18,2_18,Open 9,2B02,Ormocarpum trichocarpum,53,1,0.3,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Laurence,Julia,0.070685835,
1701,,,25-May-2013,2,18,2_18,Open 9,3B02,Acacia nigrescens,12,1,4.2,0,0,0,0,100,O,N,0,0,0,N/A,0,0,0,N,N/A,U,N,,Laurence,Julia,13.8544236,
1702,,,25-May-2013,2,18,2_18,Open 9,3B02,Acacia nigrescens,40,1,3.31,0,0,0,0,100,O,N,0,0,0,N/A,0,0,0,N,N/A,U,Y,Broken and burnt,Laurence,Julia,8.604900818,
1703,,,25-May-2013,2,18,2_18,Open 9,3B02,Acacia nigrescens,45,1,1.75,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Laurence,Julia,2.405281875,
1704,,,25-May-2013,2,18,2_18,Open 9,3B02,Acacia nigrescens,72,2,1.3,1.2,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Laurence,Julia,5.851216317,
1705,,,25-May-2013,2,18,2_18,Open 9,3B02,Sclerocarya birrea,45,1,3.5,0,0,0,0,100,O,Y,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Laurence,Julia,9.621127502,
1706,,,25-May-2013,2,18,2_18,Open 9,4A02,Acacia nigrescens,35,2,3.985,1.12,0,0,0,80,O,Y,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,hard to say if breaking is due to fire death--probably,Karen and Vellie,Hannah,16.41311337,
1707,,,25-May-2013,2,18,2_18,Open 9,4A02,Acacia nigrescens,65,1,4.08,0,0,0,0,100,O,Y,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Hannah,13.07405199,
1708,,,25-May-2013,2,18,2_18,Open 9,4A02,Ormocarpum trichocarpum,75,1,0.977,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Hannah,0.749685324,
1709,,,25-May-2013,2,18,2_18,Open 9,5A02,Ormocarpum trichocarpum,65,2,0.607,0.061,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Hannah,0.301069034,
1710,,,25-May-2013,2,18,2_18,Open 9,5A02,Ormocarpum trichocarpum,65,1,0.239,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Hannah,0.044862728,
1711,,,25-May-2013,2,18,2_18,Open 9,5A02,Ormocarpum trichocarpum,87,1,0.161,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Hannah,0.020358306,
1712,,,25-May-2013,2,18,2_18,Open 9,5A02,Ormocarpum trichocarpum,150,1,1.28,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Hannah,1.286796351,
1713,,,25-May-2013,2,18,2_18,Open 9,5A02,Sclerocarya birrea,80,10,2.54,0.933,1.16,0.29,0.83,30,O,Y,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Karen and Vellie,Hannah,9.663897144,
1714,,,13-Jun-2013,4,29,4_29,Sparse 1,3A10,Acacia nigrescens,210,2,12.413,8.209,0,0,0,50,O,Y,0,0,0,N/A,0,0,0,N,N,Y,Y,,Hannah,Peter,332.7208103,
1715,,,13-Jun-2013,4,29,4_29,Sparse 1,3A10,Acacia nigrescens,420,2,11.711,15.351,0,0,0,5,O,N,1,1,1,O,0,0,0,N,N,U,Y,,Hannah,Peter,848.0417762,
1716,,,13-Jun-2013,4,29,4_29,Sparse 1,2A10,Acacia nigrescens,100,1,15.081,0,0,0,0,100,O,Y,0,0,0,N/A,0,0,0,N,N,Y,Y,complete topkill,Hannah,Peter,178.6282573,
1717,,,13-Jun-2013,4,29,4_29,Sparse 1,2A02,Gymnosporia senegalensis,110,12,1.18,1.179,1.012,0.63,0.708,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah,Peter,7.905481762,
1718,,,13-Jun-2013,4,29,4_29,Sparse 1,2A02,Lannea schweinfurthii,44,7,0.426,0.309,0.329,0.36,0.296,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah,Peter,1.003469461,
1719,,,13-Jun-2013,4,29,4_29,Sparse 1,2A02,Gymnosporia senegalensis,15,1,0.118,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah,Peter,0.010935884,
1720,,,13-Jun-2013,4,29,4_29,Sparse 1,2A02,Gymnosporia senegalensis,52,5,0.489,0.56,0.322,0.81,0.536,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah,Peter,3.541282564,
1721,,,13-Jun-2013,4,29,4_29,Sparse 1,2A02,Gymnosporia senegalensis,55,10,0.307,0.422,0.693,0.814,0.672,25,O,N,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,fire,Hannah,Peter,3.44695703,
1722,,,13-Jun-2013,4,29,4_29,Sparse 1,2A02,Ehretia rigida,22,22,0.365,0.42,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah,Peter,0.658811614,
1723,,,13-Jun-2013,4,29,4_29,Sparse 1,2A02,Ehretia rigida,43,3,0.423,0.55,0.842,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah,Peter,1.647681309,
1724,,,13-Jun-2013,4,29,4_29,Sparse 1,2A02,Ehretia rigida,19,1,0.482,0,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah,Peter,0.182466843,
1725,,,13-Jun-2013,4,29,4_29,Sparse 1,2A02,Gymnosporia senegalensis,63,11,0.844,1.318,0.557,0.388,0.48,20,O,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,fire,Hannah,Peter,6.914376039,
1726,,,13-Jun-2013,4,29,4_29,Sparse 1,2A02,Ehretia rigida,17,2,0.21,0.314,0,0,0,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Hannah,Peter,0.344384528,
1727,,,13-Jun-2013,4,29,4_29,Sparse 1,4A02,Acacia nigrescens,65,5,0.7,0.478,1.149,0.873,5.883,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,last dead stem. topkill from fire.,Hannah,Peter,31.71621724,
1728,,,13-Jun-2013,4,29,4_29,Sparse 1,2B10,Acacia nigrescens,300,2,9.5,1.4,0,0,0,2,O,N,25,25,15,O,20,65,0,N,N/A,U,Y,,Audrey & Cody,Audrey,77.03970585,
1729,,,13-Jun-2013,4,29,4_29,Sparse 1,4B10,Acacia nigrescens,320,2,11.1,7.7,0,0,0,5,O,Y,50,40,15,O,60,95,0,N,N/A,U,Y,,Audrey & Cody,Audrey,283.0339361,
1730,,,13-Jun-2013,4,29,4_29,Sparse 1,4B10,Acacia nigrescens,500,3,9,8.8,7,0,0,30,O,Y,50,47,30,O,40,15,0,N,N/A,U,Y,,Audrey & Cody,Audrey,345.3866963,
1731,,,13-Jun-2013,4,29,4_29,Sparse 1,4B10,Acacia nigrescens,160,1,2.7,0,0,0,0,95,O,N,0,0,0,N/A,0,0,0,N,N/A,Y,N,,Audrey & Cody,Audrey,5.725552611,
1732,,,13-Jun-2013,4,29,4_29,Sparse 1,4B10,Acacia nigrescens,460,2,6.9,5.5,0,0,0,5,O,N,25,25,10,O,0,0,0,N,N/A,U,Y,,Audrey & Cody,Audrey,132.4259843,
1733,,,13-Jun-2013,4,29,4_29,Sparse 1,4B10,Acacia nigrescens,470,1,12,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Audrey & Cody,Audrey,113.0973355,
1734,,,13-Jun-2013,4,29,4_29,Sparse 1,4B10,Acacia nigrescens,450,1,9.5,0,0,0,0,5,O,Y,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Audrey & Cody,Audrey,70.88218425,
1735,,,13-Jun-2013,4,29,4_29,Sparse 1,4B10,Acacia nigrescens,480,2,9.5,5.5,0,0,0,10,O,N,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Audrey & Cody,Audrey,165.915362,
1736,,,13-Jun-2013,4,29,4_29,Sparse 1,5A10,Acacia nigrescens,350,3,7,6.8,6,0,0,65,O,N,100,70,30,O,0,40,0,N,N/A,U,N,,Audrey & Cody,Audrey,212.0260882,
1737,,,13-Jun-2013,4,29,4_29,Sparse 1,1B25,Sclerocarya birrea,1350,1,66,0,0,0,0,25,O,N,98,98,40,O,10,75,0,N,N/A,Y,Y,,Audrey & Cody,Audrey,3421.1944,
1738,,,13-Jun-2013,4,29,4_29,Sparse 1,3B25,Acacia nigrescens,700,5,12.7,10.5,10,10,7.8,11,O,Y,50,20,10,O,10,10,0,N,N/A,U,Y,,Audrey & Cody,Audrey,913.5201658,
1739,,,13-Jun-2013,4,29,4_29,Sparse 1,2B25,Acacia nigrescens,650,2,14.3,11.8,0,0,0,5,O,N,15,30,5,O,5,80,10,N,N/A,U,Y,,Audrey & Cody,Audrey,598.0414315,
1740,,,13-Jun-2013,4,29,4_29,Sparse 1,2B02,Ehretia rigida,15,1,0.374,0,0,0,0,50,O,Y,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Sam ,Audrey,0.109858354,
1741,,,13-Jun-2013,4,29,4_29,Sparse 1,2B02,Ehretia rigida,15,1,0.436,0,0,0,0,10,O,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Sam ,Audrey,0.149301049,
1742,,,13-Jun-2013,4,29,4_29,Sparse 1,2B02,Ehretia rigida,10,1,0.296,0,0,0,0,50,O,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Sam ,Audrey,0.068813445,
1743,,,13-Jun-2013,4,29,4_29,Sparse 1,2B02,Ehretia rigida,10,1,0.334,0,0,0,0,20,O,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Sam ,Audrey,0.087615878,
1744,,,13-Jun-2013,4,29,4_29,Sparse 1,2B02,Albizia forbesii,20,1,0.432,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Sam ,Audrey,0.146574147,
1745,,,13-Jun-2013,4,29,4_29,Sparse 1,4B02,Combretum hereroense,110,3,7.816,1.664,0.76,0,0,100,O,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Sam ,Audrey,57.13225002,
1746,,,13-Jun-2013,4,29,4_29,Sparse 1,4B02,Combretum hereroense,180,7,2.045,1.974,1.61,1.256,0.984,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Sam ,Audrey,23.27859602,
1747,,,13-Jun-2013,4,29,4_29,Sparse 1,4B02,Ehretia rigida,20,1,0.351,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Sam ,Audrey,0.096761839,
1748,,,13-Jun-2013,4,29,4_29,Sparse 1,4B02,Ehretia rigida,10,1,0.336,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Sam ,Audrey,0.088668311,
1749,,,13-Jun-2013,4,29,4_29,Sparse 1,4B02,Ehretia rigida,35,1,0.454,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Sam ,Audrey,0.161883128,
1750,,,13-Jun-2013,4,29,4_29,Sparse 1,4B02,Combretum hereroense,150,1,2.41,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Sam ,Audrey,4.561671073,
1751,,,13-Jun-2013,4,29,4_29,Sparse 1,4B02,Ehretia rigida,20,1,0.256,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Sam ,Audrey,0.051471854,
1752,,,13-Jun-2013,4,29,4_29,Sparse 1,4A02,Acacia nigrescens,25,2,7.761,0.6372,0,0,0,100,O,N,0,0,0,N/A,0,0,0,N,N/A,N/A,N,,Chev & Sam ,Audrey,48.58254412,
1753,,,13-Jun-2013,4,29,4_29,Sparse 1,4A02,Ehretia rigida,30,2,0.426,0.353,0,0,0,10,O,N,0,0,0,N/A,0,0,0,N,N/A,N/A,N,,Chev & Sam ,Audrey,0.534001636,
1754,,,13-Jun-2013,4,29,4_29,Sparse 1,4A02,Ehretia rigida,23,1,0.252,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Sam ,Audrey,0.049875925,
1755,,,13-Jun-2013,4,29,4_29,Sparse 1,4A02,Ormocarpum trichocarpum,40,1,1.013,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Sam ,Audrey,0.805951248,
1756,,,13-Jun-2013,4,29,4_29,Sparse 1,1A02,Ehretia rigida,15,1,0.4,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.125663706,
1757,,,13-Jun-2013,4,29,4_29,Sparse 1,1B02,Ehretia rigida,20,1,0.292,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.066966189,
1758,,,13-Jun-2013,4,29,4_29,Sparse 1,1A02,Ehretia rigida,25,1,0.256,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.051471854,
1759,,,13-Jun-2013,4,29,4_29,Sparse 1,1A02,Ehretia rigida,22,1,0.22,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.038013271,
1760,,,13-Jun-2013,4,29,4_29,Sparse 1,1B02,Ehretia rigida,20,1,0.547,0,0,0,0,20,O,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.234998199,
1761,,,13-Jun-2013,4,29,4_29,Sparse 1,1A02,Ehretia rigida,15,1,0.4,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.125663706,
1762,,,13-Jun-2013,4,29,4_29,Sparse 1,1B02,Ehretia rigida,20,1,0.292,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.066966189,
1763,,,13-Jun-2013,4,29,4_29,Sparse 1,1A02,Ehretia rigida,25,1,0.256,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.051471854,
1764,,,13-Jun-2013,4,29,4_29,Sparse 1,1A02,Ehretia rigida,22,1,0.22,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.038013271,
1765,,,13-Jun-2013,4,29,4_29,Sparse 1,1B02,Ehretia rigida,20,1,0.547,0,0,0,0,20,O,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.234998199,
1766,,,13-Jun-2013,4,29,4_29,Sparse 1,1B02,Ehretia rigida,25,1,0.535,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.224800589,
1767,,,13-Jun-2013,4,29,4_29,Sparse 1,1A02,Flueggea virosa,195,25,1.142,1.035,0.868,0.653,0.644,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,6.646714701,
1768,,,13-Jun-2013,4,29,4_29,Sparse 1,1B02,Ehretia rigida,30,1,0.704,0,0,0,0,20,O,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.389255896,
1769,,,13-Jun-2013,4,29,4_29,Sparse 1,1B02,Ehretia rigida,15,1,0.28,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.061575216,
1770,,,13-Jun-2013,4,29,4_29,Sparse 1,1B02,Ehretia rigida,24,1,0.359,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.101222901,
1771,,,13-Jun-2013,4,29,4_29,Sparse 1,1A02,Ehretia rigida,24,1,0.242,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.045996058,
1772,,,13-Jun-2013,4,29,4_29,Sparse 1,1B02,Ehretia rigida,15,1,0.303,0,0,0,0,20,O,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.07210662,
1773,,,13-Jun-2013,4,29,4_29,Sparse 1,1A02,Ehretia rigida,33,2,0.524,0.316,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.529358362,
1774,,,13-Jun-2013,4,29,4_29,Sparse 1,1A02,Ehretia rigida,25,1,0.288,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.065144065,
1775,,,13-Jun-2013,4,29,4_29,Sparse 1,1B02,Gymnosporia senegalensis,25,2,0.566,0.193,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.368628199,
1776,,,13-Jun-2013,4,29,4_29,Sparse 1,1A02,Grewia villosa,95,12,1.19,1.094,0.826,0.742,0.622,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,7.441537642,
1777,,,13-Jun-2013,4,29,4_29,Sparse 1,1A02,Gymnosporia senegalensis,75,1,0.757,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.450071632,
1778,,,13-Jun-2013,4,29,4_29,Sparse 1,1B02,Ehretia rigida,10,2,0.34,0.308,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.388816073,
1779,,,13-Jun-2013,4,29,4_29,Sparse 1,1A02,Gymnosporia senegalensis,79,9,0.655,0.476,0.46,0.446,0.439,5,N,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,1.991230959,
1780,,,13-Jun-2013,4,29,4_29,Sparse 1,2B02,Lannea schweinfurthii,70,10,1.036,0.812,0.649,0.54,0.498,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,4.356035769,
1781,,,13-Jun-2013,4,29,4_29,Sparse 1,2B02,Ehretia rigida,10,1,0.23,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.041547563,
1782,,,13-Jun-2013,4,29,4_29,Sparse 1,2B02,Ehretia rigida,35,2,0.4,0.25,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.322013247,
1783,,,13-Jun-2013,4,29,4_29,Sparse 1,2B02,Ehretia rigida,15,1,0.3,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.070685835,
1784,,,13-Jun-2013,4,29,4_29,Sparse 1,2B02,Ehretia rigida,40,1,0.824,0,0,0,0,10,O,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.533266503,
1785,,,13-Jun-2013,4,29,4_29,Sparse 1,2B02,Ehretia rigida,30,1,0.411,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.132670243,
1786,,,13-Jun-2013,4,29,4_29,Sparse 1,2B02,Ehretia rigida,40,1,0.397,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.123785819,
1787,,,13-Jun-2013,4,29,4_29,Sparse 1,2B02,Ehretia rigida,15,1,0.315,0,0,0,0,0,N/A,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,Chev & Graeme & Sam,Audrey,0.077931133,
1788,,,13-Jun-2013,4,30,4_30,Sparse 2,1A10,Acacia nigrescens,305,2,7.6,6.2,0,0,0,75,O,N,50,50,30,O,25,100,100,N,N/A,U,N,fire,NA,Peter,166.1274195,
1789,,,13-Jun-2013,4,30,4_30,Sparse 2,2A10,Acacia tortilis ,450,1,13.2,0,0,0,0,15,O,Y,0,0,0,N/A,0,0,0,N,N/A,N,Y,,NA,Peter,136.847776,
1790,,,13-Jun-2013,4,30,4_30,Sparse 2,2A10,Acacia nigrescens,290,2,8.7,5.4,0,0,0,10,O,N,0,0,0,N/A,0,0,0,N,N/A,Y,Y,,NA,Peter,151.0556288,
1791,,,13-Jun-2013,4,30,4_30,Sparse 2,4A10,Grewia bicolor,220,15,4.6,2.6,2.9,1.9,2.4,2,O,N,0,0,0,N/A,0,0,0,N,N/A,N,N,fire,NA,Peter,60.32643293,
1792,,,13-Jun-2013,4,30,4_30,Sparse 2,4A10,Combretum imberbe,225,8,2.1,1.6,1.2,2.6,1.4,0,N/A,N/A,0,0,0,N/A,0,0,0,N,N/A,N,Y,,NA,Peter,35.41360319,
1793,,,13-Jun-2013,4,30,4_30,Sparse 2,5A10,Combretum hereroense,320,4,4.7,3.2,2.2,1.2,0,20,O,N,40,40,10,N/A,0,0,0,N,N/A,N,Y,,NA,Peter,57.84457473,
1794,,,13-Jun-2013,4,30,4_30,Sparse 2,5A10,Acacia nigrescens,570,3,9.6,7.9,6.1,0,0,20,O,Y,30,30,20,O,0,0,0,N,N/A,U,Y,,NA,Peter,297.6737579,
1795,,,13-Jun-2013,4,30,4_30,Sparse 2,5A10,Combretum hereroense,270,5,6.2,3.6,2.1,3.3,2.7,10,O,N,0,0,0,N/A,0,0,0,N,N/A,Y,Y,,NA,Peter,114.3068487,
1796,,,13-Jun-2013,4,30,4_30,Sparse 2,5A10,Acacia nigrescens,530,2,11.4,13.8,0,0,0,5,O,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,NA,Peter,700.3552503,
1797,,,13-Jun-2013,4,30,4_30,Sparse 2,5A10,Acacia nigrescens,670,1,22,0,0,0,0,10,O,N,50,50,5,O,25,100,100,N,N/A,N,Y,,NA,Peter,380.1327111,
1798,,,13-Jun-2013,4,30,4_30,Sparse 2,5A10,Acacia nigrescens,680,1,16,0,0,0,0,25,O,N,0,0,0,N/A,0,0,0,N,N/A,N,Y,,NA,Peter,201.0619298,
1799,,,13-Jun-2013,4,30,4_30,Sparse 2,5A10,Acacia nigrescens,600,1,23,0,0,0,0,95,O,N,50,50,10,O,30,100,0,Y,N,Y,Y,,NA,Peter,415.4756284,
1800,,,13-Jun-2013,4,30,4_30,Sparse 2,1B10,Combretum hereroense,410,3,5.5,5.4,2,0,0,45,O,Y,30,30,7,O,2,0,0,N,N/A,U,Y,,Audrey & Cody,Audrey,118.5087289,
1801,,,13-Jun-2013,4,30,4_30,Sparse 2,3B02,Acacia nigrescens,500,1,19,0,0,0,0,15,O,N,55,55,15,O,5,40,0,Y,N,Y,Y,,Audrey & Cody,Audrey,283.528737,
1802,,,13-Jun-2013,4,30,4_30,Sparse 2,3B02,Acacia nigrescens,400,2,8.8,7.2,0,0,0,55,O,N,0,0,0,N/A,0,0,0,N,N/A,Y,Y,,Audrey & Cody,Audrey,223.6813969,
1803,,,13-Jun-2013,4,30,4_30,Sparse 2,3B10,Acacia nigrescens,390,3,10,8,2.4,0,0,3,O,N,20,20,10,O,40,0,0,N,N/A,U,Y,,Audrey & Cody,Audrey,284.1256396,
1804,,,13-Jun-2013,4,30,4_30,Sparse 2,5B02,Acacia nigrescens,450,1,6.4,0,0,0,0,50,O,Y,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Audrey & Cody,Audrey,32.16990877,
1805,,,13-Jun-2013,4,30,4_30,Sparse 2,5B10,Combretum hereroense,250,5,3.7,3.1,2.5,2,1.8,40,O,N,60,55,5,O,0,0,0,N,N/A,N/A,Y,,Audrey & Cody,Audrey,60.96260544,
1806,,,13-Jun-2013,4,30,4_30,Sparse 2,5B10,Combretum hereroense,210,1,2.5,0,0,0,0,20,O,N,0,0,0,N/A,0,0,0,N,N/A,N/A,Y,,Audrey & Cody,Audrey,4.908738521,
1807,,,13-Jun-2013,4,30,4_30,Sparse 2,5B02,Combretum hereroense,230,3,3.4,2.8,2.8,0,0,20,O,N,50,50,10,O,0,0,0,N,N/A,N/A,N,,Audrey & Cody,Audrey,39.86681077,
1808,,,13-Jun-2013,4,30,4_30,Sparse 2,5B02,Combretum hereroense,320,1,5.4,0,0,0,0,40,O,N,0,0,0,N/A,0,0,0,N,N/A,U,Y,,Audrey & Cody,Audrey,22.90221044,
