date,grid,plot,zone,side,fixed_area,height,num_stems,stem_1_diam,stem_2_diam,stem_3_diam,stem_4_diam,stem_5_diam,canopy_breakage,breakage_age,breakage_resprout,circum,add_circum,bark_stripped,strip_age,bark_regrow,borer,fire,toppled,toppled_resprout,elephant_damage,alive,notes,data_collector,scribe,total_basal_area,season,location,tag,spcode
23-May-2013,1,2,3,A,10-25,580,3,11.4,8.7,6.7,NA,NA,25,O,N,20,30,NA,N,35,0,0,N,N,Y,Y,NA,Peter & Audrey,Audrey,375.1140168,mj13,K,NA,ACNI
23-May-2013,1,2,3,A,10-25,520,1,7.6,NA,NA,NA,NA,50,O,N,0,0,0,NA,0,0,0,N,N,Y,Y,NA,Peter & Audrey,Audrey,45.36459792,mj13,K,NA,ACNI
23-May-2013,1,2,2,A,10-25,500,1,9.5,NA,NA,NA,NA,15,O,N,0,0,0,NA,0,0,0,N,N,N,Y,NA,Peter & Audrey,Audrey,70.88218425,mj13,K,NA,ACNI
23-May-2013,1,2,5,A,2-10,320,1,9.5,NA,NA,NA,NA,20,O,N,50,50,10,O,40,40,10,N,N,Y,Y,NA,Julia & Karen,Julia,70.88218425,mj13,K,NA,ACNI
23-May-2013,1,2,2,B,<2,550,2,12,14,NA,NA,NA,3,N,N,0,0,0,NA,0,0,0,N,N,NA,Y,NA,Cori & Valli,Audrey,728.8494956,mj13,K,NA,ACNI
23-May-2013,1,2,3,B,<2,680,1,15,NA,NA,NA,NA,10,N,Y,70,70,25,O,1,10,0,N,N,Y,Y,NA,Cori & Valli,Audrey,176.7145868,mj13,K,NA,ACNI
23-May-2013,1,2,4,B,<2,530,1,12.9,NA,NA,NA,NA,5,N,Y,0,0,0,NA,0,0,0,N,N,NA,Y,NA,Cori & Valli,Audrey,130.6981084,mj13,K,NA,ACNI
23-May-2013,1,2,5,A,10-25,600,2,19,16,NA,NA,NA,2,O,Y,0,0,0,NA,0,0,0,N,N,NA,Y,NA,Cori & Valli,Audrey,1087.776456,mj13,K,NA,ACNI
23-May-2013,1,2,5,A,10-25,550,1,23,NA,NA,NA,NA,1,O,Y,0,0,0,NA,0,0,0,N,N,NA,Y,NA,Cori & Valli,Audrey,415.4756284,mj13,K,NA,ACNI
23-May-2013,1,2,4,A,10-25,700,2,21,19,NA,NA,NA,50,O,Y,0,0,0,NA,0,0,0,N,N,Y,Y,NA,Cori & Valli,Audrey,1480.475538,mj13,K,NA,ACNI
23-May-2013,1,2,1,B,2-10,700,1,40,NA,NA,NA,NA,100,O,Y,0,0,0,NA,0,0,0,N,N,Y,N,NA,Dax & Jenna,Cori,1256.637061,mj13,K,NA,ACNI
23-May-2013,1,2,1,B,2-10,600,3,14.1,10.2,3.6,NA,NA,10,O,N,1,1,1,N,0,0,0,N,N,N,Y,NA,Dax & Jenna,Cori,493.1750687,mj13,K,NA,ACNI
23-May-2013,1,2,1,B,2-10,600,2,11.6,16.3,NA,NA,NA,2,O,N,2,5,1,O,0,10,0,N,N,N,Y,NA,Dax & Jenna,Cori,940.372929,mj13,K,NA,ACNI
23-May-2013,1,2,2,B,2-10,300,2,10.6,8.7,NA,NA,NA,10,O,N,0,0,0,O,0,0,0,N,N,N,Y,NA,Dax & Jenna,Cori,326.0344856,mj13,K,NA,ACNI
23-May-2013,1,2,2,B,2-10,700,1,16.5,NA,NA,NA,NA,1,O,N,0,0,0,O,0,0,0,N,N,N,Y,NA,Dax & Jenna,Cori,213.82465,mj13,K,NA,ACNI
23-May-2013,1,2,3,B,2-10,500,2,15.4,10.2,NA,NA,NA,1,O,N,1,1,1,O,0,1,0,N,N,N,Y,NA,Dax & Jenna,Cori,513.1163281,mj13,K,NA,ACNI
23-May-2013,1,2,3,B,2-10,575,1,23.2,NA,NA,NA,NA,5,O,N,33,33,5,O,0,0,0,N,N,N,Y,NA,Dax & Jenna,Cori,422.7327075,mj13,K,NA,ACNI
23-May-2013,1,2,3,B,2-10,650,2,19,14.2,NA,NA,NA,6,O,N,45,45,14,O,10,0,0,N,N,N,Y,NA,Dax & Jenna,Cori,916.9994797,mj13,K,NA,ACNI
23-May-2013,1,2,4,B,2-10,550,3,8.6,13,13.2,NA,NA,12,O,N,12,12,7,O,10,0,0,N,N,N,Y,NA,Dax & Jenna,Cori,725.8649826,mj13,K,NA,ACNI
23-May-2013,1,2,5,B,2-10,700,1,29.1,NA,NA,NA,NA,2,O,N,0,0,0,O,0,0,0,N,N,N,Y,NA,Dax & Jenna,Cori,665.0830187,mj13,K,NA,ACNI
